city_id,airport_id,include,primary_airport,airport_order,service_pattern,qualifying_service_as_of,association_source_id,service_source_id,inclusion_reason_en,inclusion_reason_es,review_status
city-q1490,ourairports-5627,true,true,1,year_round,2026-09-14,ourairports-2026-09-14,ourairports-2026-09-14,Scheduled commercial airport conventionally serving Tokyo.,Aeropuerto comercial con servicios regulares que sirve convencionalmente a Tokio.,approved
city-q1490,ourairports-5531,true,false,2,year_round,2026-09-14,ourairports-2026-09-14,ourairports-2026-09-14,Scheduled commercial airport conventionally serving Tokyo.,Aeropuerto comercial con servicios regulares que sirve convencionalmente a Tokio.,approved
city-q1353,ourairports-26555,true,true,1,year_round,2026-09-14,ourairports-2026-09-14,ourairports-2026-09-14,Scheduled commercial airport conventionally serving Delhi.,Aeropuerto comercial con servicios regulares que sirve convencionalmente a Delhi.,approved
city-q8686,ourairports-27223,true,true,1,year_round,2026-09-14,ourairports-2026-09-14,ourairports-2026-09-14,Scheduled commercial airport conventionally serving Shanghai.,Aeropuerto comercial con servicios regulares que sirve convencionalmente a Shanghái.,approved
city-q8686,ourairports-27225,true,false,2,year_round,2026-09-14,ourairports-2026-09-14,ourairports-2026-09-14,Scheduled commercial airport conventionally serving Shanghai.,Aeropuerto comercial con servicios regulares que sirve convencionalmente a Shanghái.,approved
city-q1354,ourairports-26534,true,true,1,year_round,2026-09-14,ourairports-2026-09-14,ourairports-2026-09-14,Scheduled commercial airport conventionally serving Dhaka.,Aeropuerto comercial con servicios regulares que sirve convencionalmente a Daca.,approved
city-q956,ourairports-27188,true,true,1,year_round,2026-09-14,ourairports-2026-09-14,ourairports-2026-09-14,Scheduled commercial airport conventionally serving Beijing.,Aeropuerto comercial con servicios regulares que sirve convencionalmente a Pekín.,approved
city-q956,ourairports-330820,true,false,2,year_round,2026-09-14,ourairports-2026-09-14,ourairports-2026-09-14,Scheduled commercial airport conventionally serving Beijing.,Aeropuerto comercial con servicios regulares que sirve convencionalmente a Pekín.,approved
city-q1156,ourairports-26434,true,true,1,year_round,2026-09-14,ourairports-2026-09-14,ourairports-2026-09-14,Scheduled commercial airport conventionally serving Mumbai.,Aeropuerto comercial con servicios regulares que sirve convencionalmente a Bombay.,approved
city-q35765,ourairports-5536,true,true,1,year_round,2026-09-14,ourairports-2026-09-14,ourairports-2026-09-14,Scheduled commercial airport conventionally serving Osaka.,Aeropuerto comercial con servicios regulares que sirve convencionalmente a Osaka.,approved
