city_id,tower_id,tallest_eligible,iconic_candidate,association_source_id,disqualification_reason,review_status
city-q1490,wikidata-q183536,false,true,wikidata-q183536,,approved
city-q1490,wikidata-q57965,true,false,wikidata-q57965,,approved
city-q1353,wikidata-q187635,false,true,wikidata-q187635,,approved
city-q8686,wikidata-q223207,false,true,wikidata-q223207,,approved
city-q8686,wikidata-q18547,true,false,wikidata-q18547,,approved
city-q1354,wikidata-q497536,false,true,wikidata-q497536,,approved
city-q956,wikidata-q197833,false,true,wikidata-q197833,,approved
city-q1156,wikidata-q7285587,false,true,wikidata-q7285587,,approved
city-q1156,wikidata-q98937711,true,false,wikidata-q98937711,,approved
city-q35765,wikidata-q1148463,false,true,wikidata-q1148463,,approved
city-q35765,wikidata-q16318627,true,false,wikidata-q16318627,,approved
city-q8660,wikidata-q2571455,false,true,wikidata-q2571455,,approved
city-q8660,wikidata-q7076089,true,false,wikidata-q7076089,,approved
city-q11725,wikidata-q1666430,false,true,wikidata-q1666430,,approved
city-q406,wikidata-q91274,false,true,wikidata-q91274,,approved
city-q406,wikidata-q131388493,true,false,wikidata-q131388493,,approved
city-q1348,wikidata-q7711913,false,true,wikidata-q7711913,,approved
city-q1461,wikidata-q1461,false,true,wikidata-q1461,,approved
city-q16572,wikidata-q168400,false,true,wikidata-q168400,,approved
city-q11736,wikidata-q1353260,false,true,wikidata-q1353260,,approved
city-q11736,wikidata-q10939987,true,false,wikidata-q10939987,,approved
city-q11739,wikidata-q996962,false,true,wikidata-q996962,,approved
city-q11739,wikidata-q7639954,true,false,wikidata-q7639954,,approved
city-q1355,wikidata-q283257,false,true,wikidata-q283257,,approved
city-q1355,wikidata-q126710631,true,false,wikidata-q126710631,,approved
city-q15174,wikidata-q1077308,false,true,wikidata-q1077308,,approved
city-q1352,wikidata-q2509435,false,true,wikidata-q2509435,,approved
city-q1352,wikidata-q6546309,true,false,wikidata-q6546309,,approved
city-q3630,wikidata-q30686870,false,true,wikidata-q30686870,,approved
city-q1861,wikidata-q724970,false,true,wikidata-q724970,,approved
city-q1861,wikidata-q1640197,true,false,wikidata-q1640197,,approved
city-q1361,wikidata-q1771696,false,true,wikidata-q1771696,,approved
city-q8684,wikidata-q69134,false,true,wikidata-q69134,,approved
city-q8684,wikidata-q494895,true,false,wikidata-q494895,,approved
city-q11751,wikidata-q283373,false,true,wikidata-q283373,,approved
city-q11751,wikidata-q1155401,true,false,wikidata-q1155401,,approved
city-q3616,wikidata-q1140026,false,true,wikidata-q1140026,,approved
city-q3616,wikidata-q622796,true,false,wikidata-q622796,,approved
city-q30002,wikidata-q2118734,true,true,ctbuh-west-pearl,,approved
city-q30002,wikidata-q18589922,false,false,wikidata-q18589922,under construction and ineligible,approved
city-q16666,wikidata-q382121,false,true,wikidata-q382121,,approved
city-q11746,wikidata-q462372,false,true,wikidata-q462372,,approved
city-q11746,wikidata-q143235,true,false,wikidata-q143235,,approved
city-q1854,wikidata-q638512,false,true,wikidata-q638512,,approved
city-q1854,wikidata-q18640924,true,false,wikidata-q18640924,,approved
city-q1865,wikidata-q83063,false,true,wikidata-q83063,,approved
city-q1865,wikidata-q7969454,true,false,wikidata-q7969454,,approved
city-q5826,wikidata-q1047061,false,true,wikidata-q1047061,,approved
city-q5826,wikidata-q99208458,true,false,wikidata-q99208458,,approved
