issue_id,entity_type,entity_id,issue_type,severity,status,decision,evidence_source_id,owner,opened_at,resolved_at
tallest-city-q1070,city,city-q1070,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q1070,editorial review,2026-09-14,2026-09-14
tallest-city-q203263,city,city-q203263,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q10288,editorial review,2026-09-14,2026-09-14
tallest-city-q727,city,city-q727,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q1816984,editorial review,2026-09-14,2026-09-14
tallest-city-q34370,city,city-q34370,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q969215,editorial review,2026-09-14,2026-09-14
tallest-city-q1748,city,city-q1748,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q1140534,editorial review,2026-09-14,2026-09-14
tallest-city-q585,city,city-q585,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q373850,editorial review,2026-09-14,2026-09-14
tallest-city-q18125,city,city-q18125,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q2578415,editorial review,2026-09-14,2026-09-14
tallest-city-q4093,city,city-q4093,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q4093,editorial review,2026-09-14,2026-09-14
tallest-city-q23436,city,city-q23436,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q2502213,editorial review,2026-09-14,2026-09-14
tallest-city-q384,city,city-q384,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q1890632,editorial review,2026-09-14,2026-09-14
tallest-city-q3897,city,city-q3897,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q32788393,editorial review,2026-09-14,2026-09-14
tallest-city-q1963,city,city-q1963,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q553923,editorial review,2026-09-14,2026-09-14
tallest-city-q1960,city,city-q1960,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q96912060,editorial review,2026-09-14,2026-09-14
tallest-city-q3561,city,city-q3561,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q3561,editorial review,2026-09-14,2026-09-14
tallest-city-q3551,city,city-q3551,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q579331,editorial review,2026-09-14,2026-09-14
tallest-city-q3881,city,city-q3881,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q21007716,editorial review,2026-09-14,2026-09-14
tallest-city-q3919,city,city-q3919,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q7797448,editorial review,2026-09-14,2026-09-14
tallest-city-q3935,city,city-q3935,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q3935,editorial review,2026-09-14,2026-09-14
tallest-city-q3915,city,city-q3915,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q3915,editorial review,2026-09-14,2026-09-14
tallest-city-q11953,city,city-q11953,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q1706069,editorial review,2026-09-14,2026-09-14
tallest-city-q81033,city,city-q81033,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q5436075,editorial review,2026-09-14,2026-09-14
tallest-city-q42800,city,city-q42800,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q42800,editorial review,2026-09-14,2026-09-14
tallest-city-q48344,city,city-q48344,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q15975929,editorial review,2026-09-14,2026-09-14
tallest-city-q2900,city,city-q2900,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q4868435,editorial review,2026-09-14,2026-09-14
tallest-city-q3183,city,city-q3183,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q3183,editorial review,2026-09-14,2026-09-14
tallest-city-q5112,city,city-q5112,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q5112,editorial review,2026-09-14,2026-09-14
tallest-city-q37100,city,city-q37100,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q37100,editorial review,2026-09-14,2026-09-14
tallest-city-q23661,city,city-q23661,candidate_fallback,warning,resolved_with_waiver,Iconic landmark used as tallest candidate pending a broader authoritative source audit.,wikidata-q10323215,editorial review,2026-09-14,2026-09-14
