observation_id,city_id,city_name_en,city_name_es,city_name_local,country_code,country_name_en,country_name_es,continent,region,airport_id,airport_name,airport_name_es,iata,icao,airport_latitude,airport_longitude,airport_type,primary_airport,service_pattern,tower_id,tower_name,tower_name_es,tower_latitude,tower_longitude,height_m,height_basis,tower_type,completed_year,mode,co_tallest,confidence,selection_reason_en,selection_reason_es,distance_m,distance_km,source_ids,reviewed_at
city-q172--ourairports-1926--iconic--wikidata-q134883,city-q172,Toronto,Toronto,Toronto,CA,Canada,Canadá,North America,Northern America,ourairports-1926,Billy Bishop Toronto City Airport,Billy Bishop Toronto City Airport,YTZ,CYTZ,43.627852,-79.39553,medium_airport,false,year_round,wikidata-q134883,CN Tower,CN Tower,43.642752777,-79.387147222,553.3,structural_tip,building_or_freestanding_tower,1976,iconic,false,high,CN Tower is the selected vertical landmark most strongly associated with Toronto.,CN Tower es el hito vertical seleccionado con mayor asociación a Toronto.,1788.420127719707,1.788420127719707,ourairports-2026-09-14;wikidata-q134883,2026-09-14
city-q3761--ourairports-2090--iconic--wikidata-q124619191,city-q3761,Accra,Acra,Accra,GH,Ghana,Ghana,Africa,Western Africa,ourairports-2090,Kotoka International Airport,Kotoka International Airport,ACC,DGAA,5.605189800262451,-0.16678600013256073,large_airport,true,year_round,wikidata-q124619191,Villagio Apartments,Villagio Apartments,5.6205,-0.1781,100,structural_tip,building_or_freestanding_tower,1900,iconic,false,low,Villagio Apartments is the selected vertical landmark most strongly associated with Accra.,Villagio Apartments es el hito vertical seleccionado con mayor asociación a Acra.,2106.5842353882117,2.106584235388212,ourairports-2026-09-14;wikidata-q124619191,2026-09-14
city-q3616--ourairports-5168--iconic--wikidata-q1140026,city-q3616,Tehran,Teherán,Tehran,IR,Iran,Irán,Asia,Southern Asia,ourairports-5168,Mehrabad International Airport,Mehrabad International Airport,THR,OIII,35.689175,51.314392,large_airport,false,year_round,wikidata-q1140026,Azadi Tower,Azadi Tower,35.69972222222222,51.338055555555556,45,structural_tip,vertical_landmark,1971,iconic,false,high,Azadi Tower is the selected vertical landmark most strongly associated with Tehran.,Azadi Tower es el hito vertical seleccionado con mayor asociación a Teherán.,2440.648095415094,2.440648095415094,ourairports-2026-09-14;wikidata-q1140026,2026-09-14
city-q43509--ourairports-6056--iconic--wikidata-q6150287,city-q43509,Guayaquil,Guayaquil,Guayaquil,EC,Ecuador,Ecuador,South America,South America,ourairports-6056,José Joaquín de Olmedo International Airport,José Joaquín de Olmedo International Airport,GYE,SEGU,-2.15742,-79.883598,large_airport,true,year_round,wikidata-q6150287,Torre The Point,Torre The Point,-2.178295,-79.876221,137,structural_tip,building_or_freestanding_tower,1900,iconic,false,low,Torre The Point is the selected vertical landmark most strongly associated with Guayaquil.,Torre The Point es el hito vertical seleccionado con mayor asociación a Guayaquil.,2449.802667978666,2.4498026679786657,ourairports-2026-09-14;wikidata-q6150287,2026-09-14
city-q3870--ourairports-3215--iconic--wikidata-q3272625,city-q3870,Nairobi,Nairobi,Nairobi,KE,Kenya,Kenia,Africa,Eastern Africa,ourairports-3215,Nairobi Wilson Airport,Nairobi Wilson Airport,WIL,HKNW,-1.32172,36.8148,medium_airport,false,year_round,wikidata-q3272625,Kenyatta International Convention Centre,Kenyatta International Convention Centre,-1.2886111111111,36.823055555556,105,structural_tip,vertical_landmark,1974,iconic,false,high,Kenyatta International Convention Centre is the selected vertical landmark most strongly associated with Nairobi.,Kenyatta International Convention Centre es el hito vertical seleccionado con mayor asociación a Nairobi.,3774.5372309120717,3.7745372309120717,ourairports-2026-09-14;wikidata-q3272625,2026-09-14
city-q1867--ourairports-5527--iconic--wikidata-q83101,city-q1867,Taipei,Taipéi,Taipei,TW,Taiwan,Taiwán,Asia,Eastern Asia,ourairports-5527,Taipei Songshan International Airport,Taipei Songshan International Airport,TSA,RCSS,25.067244,121.552822,large_airport,false,year_round,wikidata-q83101,Taipei 101,Taipei 101,25.033611111,121.564722222,508,structural_tip,building_or_freestanding_tower,2005,iconic,false,high,Taipei 101 is the selected vertical landmark most strongly associated with Taipei.,Taipei 101 es el hito vertical seleccionado con mayor asociación a Taipéi.,3914.3818871609433,3.9143818871609435,ourairports-2026-09-14;wikidata-q83101,2026-09-14
city-q3897--ourairports-2942--iconic--wikidata-q32788393,city-q3897,Luanda,Luanda,Luanda,AO,Angola,Angola,Africa,Middle Africa,ourairports-2942,Quatro de Fevereiro International Airport,Quatro de Fevereiro International Airport,LAD,FNLU,-8.85837,13.2312,large_airport,true,year_round,wikidata-q32788393,Mausoleum of Agostinho Neto,Mausoleum of Agostinho Neto,-8.823611,13.218947,50,structural_tip,building_or_freestanding_tower,1900,iconic,false,high,Mausoleum of Agostinho Neto is the selected vertical landmark most strongly associated with Luanda.,Mausoleum of Agostinho Neto es el hito vertical seleccionado con mayor asociación a Luanda.,4073.8135774155207,4.073813577415521,ourairports-2026-09-14;wikidata-q32788393,2026-09-14
city-q61--ourairports-3483--iconic--wikidata-q178114,city-q61,"Washington, D.C.",Washington D. C.,"Washington, D.C.",US,United States,Estados Unidos,North America,Northern America,ourairports-3483,Ronald Reagan Washington National Airport,Ronald Reagan Washington National Airport,DCA,KDCA,38.8521,-77.037697,large_airport,false,year_round,wikidata-q178114,Washington Monument,Washington Monument,38.889475,-77.035244444444,169.046,structural_tip,vertical_landmark,1885,iconic,false,high,"Washington Monument is the selected vertical landmark most strongly associated with Washington, D.C..",Washington Monument es el hito vertical seleccionado con mayor asociación a Washington D. C..,4154.5671168437,4.1545671168437,ourairports-2026-09-14;wikidata-q178114,2026-09-14
city-q3306--ourairports-4791--iconic--wikidata-q5853834,city-q3306,Panama City,Ciudad de Panamá,Panama City,PA,Panama,Panamá,North America,Central America,ourairports-4791,Marcos A. Gelabert International Airport,Marcos A. Gelabert International Airport,PAC,MPMG,8.97334,-79.555603,medium_airport,false,year_round,wikidata-q5853834,F&F Tower,F&F Tower,8.98297,-79.5185,50,structural_tip,vertical_landmark,2011,iconic,false,high,F&F Tower is the selected vertical landmark most strongly associated with Panama City.,F&F Tower es el hito vertical seleccionado con mayor asociación a Ciudad de Panamá.,4216.745296656298,4.216745296656298,ourairports-2026-09-14;wikidata-q5853834,2026-09-14
city-q48278--ourairports-6132--iconic--wikidata-q3057904,city-q48278,Medellín,Medellín,Medellín,CO,Colombia,Colombia,South America,South America,ourairports-6132,Enrique Olaya Herrera Airport,Enrique Olaya Herrera Airport,EOH,SKMD,6.219686,-75.590597,medium_airport,false,year_round,wikidata-q3057904,Coltejer Building,Coltejer Building,6.250136,-75.566067,175,structural_tip,vertical_landmark,1972,iconic,false,high,Coltejer Building is the selected vertical landmark most strongly associated with Medellín.,Coltejer Building es el hito vertical seleccionado con mayor asociación a Medellín.,4325.327669526337,4.325327669526336,ourairports-2026-09-14;wikidata-q3057904,2026-09-14
city-q1963--ourairports-3249--iconic--wikidata-q553923,city-q1963,Khartoum,Jartum,Khartoum,SD,Sudan,Sudán,Africa,Northern Africa,ourairports-3249,Khartoum International Airport,Khartoum International Airport,KRT,HSSK,15.5895,32.5532,large_airport,true,year_round,wikidata-q553923,Corinthia Hotel Khartoum,Corinthia Hotel Khartoum,15.606667,32.513611,50,structural_tip,building_or_freestanding_tower,2008,iconic,false,high,Corinthia Hotel Khartoum is the selected vertical landmark most strongly associated with Khartoum.,Corinthia Hotel Khartoum es el hito vertical seleccionado con mayor asociación a Jartum.,4651.3342393913845,4.651334239391384,ourairports-2026-09-14;wikidata-q553923,2026-09-14
city-q23661--ourairports-5063--iconic--wikidata-q10323215,city-q23661,Wellington,Wellington,Wellington,NZ,New Zealand,Nueva Zelanda,Oceania,Australia and New Zealand,ourairports-5063,Wellington International Airport,Wellington International Airport,WLG,NZWN,-41.326839,174.806862,large_airport,true,year_round,wikidata-q10323215,Majestic Centre,Majestic Centre,-41.2884,174.774,50,structural_tip,building_or_freestanding_tower,1991,iconic,false,high,Majestic Centre is the selected vertical landmark most strongly associated with Wellington.,Majestic Centre es el hito vertical seleccionado con mayor asociación a Wellington.,5079.1609411672825,5.079160941167283,ourairports-2026-09-14;wikidata-q10323215,2026-09-14
city-q3889--ourairports-2975--iconic--wikidata-q10270271,city-q3889,Maputo,Maputo,Maputo,MZ,Mozambique,Mozambique,Africa,Eastern Africa,ourairports-2975,Maputo Airport,Maputo Airport,MPM,FQMA,-25.920799,32.572601,large_airport,true,year_round,wikidata-q10270271,Maputo City Hall,Maputo City Hall,-25.968167,32.573801,50,structural_tip,vertical_landmark,1947,iconic,false,high,Maputo City Hall is the selected vertical landmark most strongly associated with Maputo.,Maputo City Hall es el hito vertical seleccionado con mayor asociación a Maputo.,5249.141731499759,5.249141731499759,ourairports-2026-09-14;wikidata-q10270271,2026-09-14
city-q1486--ourairports-5771--iconic--wikidata-q831389,city-q1486,Buenos Aires,Buenos Aires,Buenos Aires,AR,Argentina,Argentina,South America,South America,ourairports-5771,Aeroparque Jorge Newbery,Aeroparque Jorge Newbery,AEP,SABE,-34.559419,-58.415536,large_airport,false,year_round,wikidata-q831389,Obelisco de Buenos Aires,Obelisco de Buenos Aires,-34.60376,-58.38162,67.5,structural_tip,vertical_landmark,1936,iconic,false,high,Obelisco de Buenos Aires is the selected vertical landmark most strongly associated with Buenos Aires.,Obelisco de Buenos Aires es el hito vertical seleccionado con mayor asociación a Buenos Aires.,5820.540794247065,5.820540794247065,ourairports-2026-09-14;wikidata-q831389,2026-09-14
city-q34370--ourairports-2524--iconic--wikidata-q969215,city-q34370,Rotterdam,Róterdam,Rotterdam,NL,Netherlands,Países Bajos,Europe,Western Europe,ourairports-2524,Rotterdam The Hague Airport,Rotterdam The Hague Airport,RTM,EHRD,51.956902,4.43722,large_airport,true,year_round,wikidata-q969215,Euromast,Euromast,51.905388888888886,4.466583333333333,184.5,structural_tip,building_or_freestanding_tower,1960,iconic,false,high,Euromast is the selected vertical landmark most strongly associated with Rotterdam.,Euromast es el hito vertical seleccionado con mayor asociación a Róterdam.,6077.100159763375,6.077100159763375,ourairports-2026-09-14;wikidata-q969215,2026-09-14
city-q18094--ourairports-5453--iconic--wikidata-q448450,city-q18094,Honolulu,Honolulú,Honolulu,US,United States,Estados Unidos,Oceania,Polynesia,ourairports-5453,Daniel K. Inouye International Airport,Daniel K. Inouye International Airport,HNL,PHNL,21.318387,-157.92567,large_airport,true,year_round,wikidata-q448450,Aloha Tower,Aloha Tower,21.307083,-157.865972,56,structural_tip,vertical_landmark,1926,iconic,false,high,Aloha Tower is the selected vertical landmark most strongly associated with Honolulu.,Aloha Tower es el hito vertical seleccionado con mayor asociación a Honolulú.,6318.994417342371,6.318994417342371,ourairports-2026-09-14;wikidata-q448450,2026-09-14
city-q3572--ourairports-2133--iconic--wikidata-q29059648,city-q3572,Tunis,Túnez,Tunis,TN,Tunisia,Túnez,Africa,Northern Africa,ourairports-2133,Tunis Carthage International Airport,Tunis Carthage International Airport,TUN,DTTA,36.851002,10.2272,large_airport,true,year_round,wikidata-q29059648,Nation Tower,Nation Tower,36.80347,10.186468,82.54,structural_tip,building_or_freestanding_tower,1900,iconic,false,low,Nation Tower is the selected vertical landmark most strongly associated with Tunis.,Nation Tower es el hito vertical seleccionado con mayor asociación a Túnez.,6405.346257412423,6.405346257412424,ourairports-2026-09-14;wikidata-q29059648,2026-09-14
city-q5112--ourairports-27096--iconic--wikidata-q5112,city-q5112,Adelaide,Adelaida,Adelaide,AU,Australia,Australia,Oceania,Australia and New Zealand,ourairports-27096,Adelaide International Airport,Adelaide International Airport,ADL,YPAD,-34.947512,138.533393,large_airport,true,year_round,wikidata-q5112,Adelaide,Adelaide,-34.9275,138.6,50,structural_tip,building_or_freestanding_tower,1836,iconic,false,high,Adelaide is the selected vertical landmark most strongly associated with Adelaide.,Adelaide es el hito vertical seleccionado con mayor asociación a Adelaida.,6477.404466652843,6.477404466652843,ourairports-2026-09-14;wikidata-q5112,2026-09-14
city-q100--ourairports-3422--iconic--wikidata-q17986468,city-q100,Boston,Boston,Boston,US,United States,Estados Unidos,North America,Northern America,ourairports-3422,Boston Logan International Airport,Boston Logan International Airport,BOS,KBOS,42.36197,-71.0079,large_airport,true,year_round,wikidata-q17986468,"Four Seasons Hotel & Private Residences, One Dalton Street","Four Seasons Hotel & Private Residences, One Dalton Street",42.34572,-71.083959,742,structural_tip,building_or_freestanding_tower,2019,iconic,false,low,"Four Seasons Hotel & Private Residences, One Dalton Street is the selected vertical landmark most strongly associated with Boston.","Four Seasons Hotel & Private Residences, One Dalton Street es el hito vertical seleccionado con mayor asociación a Boston.",6521.304767818313,6.521304767818313,ourairports-2026-09-14;wikidata-q17986468,2026-09-14
city-q3624--ourairports-3157--iconic--wikidata-q27857526,city-q3624,Addis Ababa,Adís Abeba,Addis Ababa,ET,Ethiopia,Etiopía,Africa,Eastern Africa,ourairports-3157,Addis Ababa Bole International Airport,Addis Ababa Bole International Airport,ADD,HAAB,8.97789,38.799301,large_airport,true,year_round,wikidata-q27857526,Commercial Bank of Ethiopia Headquarters,Commercial Bank of Ethiopia Headquarters,9.0165513,38.7543284,50,structural_tip,vertical_landmark,1900,iconic,false,high,Commercial Bank of Ethiopia Headquarters is the selected vertical landmark most strongly associated with Addis Ababa.,Commercial Bank of Ethiopia Headquarters es el hito vertical seleccionado con mayor asociación a Adís Abeba.,6537.467467436124,6.537467467436124,ourairports-2026-09-14;wikidata-q27857526,2026-09-14
city-q8678--ourairports-5967--iconic--wikidata-q79961,city-q8678,Rio de Janeiro,Río de Janeiro,Rio de Janeiro,BR,Brazil,Brasil,South America,South America,ourairports-5967,Santos Dumont Airport,Santos Dumont Airport,SDU,SBRJ,-22.910397,-43.16282,large_airport,false,year_round,wikidata-q79961,Christ the Redeemer,Christ the Redeemer,-22.951915648887244,-43.21046412278801,30.1,structural_tip,vertical_landmark,1931,iconic,false,high,Christ the Redeemer is the selected vertical landmark most strongly associated with Rio de Janeiro.,Christ the Redeemer es el hito vertical seleccionado con mayor asociación a Río de Janeiro.,6710.0037784025,6.7100037784025,ourairports-2026-09-14;wikidata-q79961,2026-09-14
city-q11194--ourairports-4469--iconic--wikidata-q790278,city-q11194,Sarajevo,Sarajevo,Sarajevo,BA,Bosnia & Herzegovina,Bosnia y Herzegovina,Europe,Southern Europe,ourairports-4469,Sarajevo International Airport,Sarajevo International Airport,SJJ,LQSA,43.8246,18.331499,large_airport,true,year_round,wikidata-q790278,Avaz Twist Tower,Avaz Twist Tower,43.860555555556,18.4025,172,structural_tip,vertical_landmark,2008,iconic,false,high,Avaz Twist Tower is the selected vertical landmark most strongly associated with Sarajevo.,Avaz Twist Tower es el hito vertical seleccionado con mayor asociación a Sarajevo.,6968.590995108347,6.968590995108347,ourairports-2026-09-14;wikidata-q790278,2026-09-14
