iata,annual_passengers,passenger_year,source_id
ATL,106302208,2025,aci-world-2025-passengers
DXB,95192160,2025,aci-world-2025-passengers
HND,91679814,2025,aci-world-2025-passengers
DFW,85660127,2025,aci-world-2025-passengers
PVG,84994548,2025,aci-world-2025-passengers
ORD,84856018,2025,aci-world-2025-passengers
LHR,84482126,2025,aci-world-2025-passengers
IST,84437710,2025,aci-world-2025-passengers
CAN,83582952,2025,aci-world-2025-passengers
DEN,82427962,2025,aci-world-2025-passengers
DEL,78148081,2025,aci-world-2025-passengers
ICN,74126912,2025,aci-world-2025-passengers
LAX,73709594,2025,aci-world-2025-passengers
CDG,72029407,2025,aci-world-2025-passengers
PEK,70742712,2025,aci-world-2025-passengers
SIN,69982000,2025,aci-world-2025-passengers
AMS,68771592,2025,aci-world-2025-passengers
SZX,66485213,2025,aci-world-2025-passengers
KUL,63409501,2025,aci-world-2025-passengers
MAD,68179054,2025,aena-2025-annual-traffic
BCN,57483036,2025,aena-2025-annual-traffic
PMI,33806427,2025,aena-2025-annual-traffic
AGP,26760549,2025,aena-2025-annual-traffic
ALC,19950394,2025,aena-2025-annual-traffic
LPA,15826553,2025,aena-2025-annual-traffic
TFS,13969678,2025,aena-2025-annual-traffic
VLC,11847527,2025,aena-2025-annual-traffic
SVQ,9686487,2025,aena-2025-annual-traffic
IBZ,9138224,2025,aena-2025-annual-traffic
ACE,8920901,2025,aena-2025-annual-traffic
TFN,7174977,2025,aena-2025-annual-traffic
BIO,7062681,2025,aena-2025-annual-traffic
FUE,6886935,2025,aena-2025-annual-traffic
MAH,4210152,2025,aena-2025-annual-traffic
SCQ,3120759,2025,aena-2025-annual-traffic
GRO,2185561,2025,aena-2025-annual-traffic
OVD,2051342,2025,aena-2025-annual-traffic
SPC,1533355,2025,aena-2025-annual-traffic
REU,1336826,2025,aena-2025-annual-traffic
LCG,1292166,2025,aena-2025-annual-traffic
GRX,1152872,2025,aena-2025-annual-traffic
VGO,1114810,2025,aena-2025-annual-traffic
SDR,1069390,2025,aena-2025-annual-traffic
RMU,949007,2025,aena-2025-annual-traffic
XRY,884539,2025,aena-2025-annual-traffic
LEI,801689,2025,aena-2025-annual-traffic
ZAZ,707493,2025,aena-2025-annual-traffic
MLN,532485,2025,aena-2025-annual-traffic
EAS,472666,2025,aena-2025-annual-traffic
VDE,313175,2025,aena-2025-annual-traffic
VIT,307163,2025,aena-2025-annual-traffic
PNA,233398,2025,aena-2025-annual-traffic
GMZ,128341,2025,aena-2025-annual-traffic
BJZ,107002,2025,aena-2025-annual-traffic
