"city_id","city_name","tower_id","tower_name","candidate_height_m","source_url","evidence","status"
"city-q8660","Karachi","wikidata-q2571455","Mazar-e-Quaid","","https://en.wikipedia.org/wiki/Mazar-e-Quaid","","no_page_or_height"
"city-q1461","Manila","wikidata-q1461","Manila","","https://en.wikipedia.org/wiki/Manila","","no_page_or_height"
"city-q1355","Bengaluru","wikidata-q283257","Vidhana Soudha","","https://en.wikipedia.org/wiki/Vidhana_Soudha","","no_page_or_height"
"city-q1352","Chennai","wikidata-q2509435","Valluvar Kottam","","https://en.wikipedia.org/wiki/Valluvar_Kottam","","no_page_or_height"
"city-q1861","Bangkok","wikidata-q724970","Wat Arun","","https://en.wikipedia.org/wiki/Wat_Arun","","no_page_or_height"
"city-q11746","Wuhan","wikidata-q462372","Tower of the Yellow Crane","10","https://en.wikipedia.org/wiki/Yellow_Crane_Tower","10 meters high","candidate_found"
"city-q5826","Xi'an","wikidata-q1047061","Giant Wild Goose Pagoda","64.1","https://en.wikipedia.org/wiki/Giant_Wild_Goose_Pagoda","height of the pagoda, including the base, is 64.1 meters","candidate_found"
"city-q1070","Ahmedabad","wikidata-q1070","Ahmedabad","","https://en.wikipedia.org/wiki/Ahmedabad","","no_page_or_height"
"city-q334","Singapore","wikidata-q548679","Marina Bay Sands","200","https://en.wikipedia.org/wiki/Marina_Bay_Sands","height of 200m","candidate_found"
"city-q1218","Jerusalem","wikidata-q1177765","Tower of David","","https://en.wikipedia.org/wiki/Tower_of_David","","no_page_or_height"
"city-q36433","Porto","wikidata-q18642","Clérigos Church","","https://en.wikipedia.org/wiki/Cl%C3%A9rigos_Church","","fetch_error: Error: 429 https://en.wikipedia.org/w/api.php?action=parse&page=Cl%C3%A9rigos%20Church&prop=wikitext&format=json&origin=*"
"city-q727","Amsterdam","wikidata-q1816984","Westerkerk","","https://www.wikidata.org/wiki/Q1816984","","no_page_or_height"
"city-q1754","Stockholm","wikidata-q648483","Stockholm City Hall","","https://en.wikipedia.org/wiki/Stockholm_City_Hall","","fetch_error: Error: 429 https://en.wikipedia.org/w/api.php?action=parse&page=Stockholm%20City%20Hall&prop=wikitext&format=json&origin=*"
"city-q1757","Helsinki","wikidata-q738015","Helsinki Cathedral","","https://en.wikipedia.org/wiki/Helsinki_Cathedral","","fetch_error: Error: 429 https://en.wikipedia.org/w/api.php?action=parse&page=Helsinki%20Cathedral&prop=wikitext&format=json&origin=*"
"city-q72","Zurich","wikidata-q684948","Grossmünster","","https://en.wikipedia.org/wiki/Grossm%C3%BCnster","","fetch_error: Error: 429 https://en.wikipedia.org/w/api.php?action=parse&page=Grossm%C3%BCnster&prop=wikitext&format=json&origin=*"
"city-q18125","Manchester","wikidata-q2578415","Manchester Town Hall","","https://en.wikipedia.org/wiki/Manchester_Town_Hall","","fetch_error: Error: 429 https://en.wikipedia.org/w/api.php?action=parse&page=Manchester%20Town%20Hall&prop=wikitext&format=json&origin=*"
"city-q4093","Glasgow","wikidata-q4093","Glasgow","","https://en.wikipedia.org/wiki/Glasgow","","fetch_error: Error: 429 https://en.wikipedia.org/w/api.php?action=parse&page=Glasgow&prop=wikitext&format=json&origin=*"
"city-q23436","Edinburgh","wikidata-q2502213","Scott Monument","","https://en.wikipedia.org/wiki/Scott_Monument","","fetch_error: Error: 429 https://en.wikipedia.org/w/api.php?action=parse&page=Scott%20Monument&prop=wikitext&format=json&origin=*"
"city-q384","Skopje","wikidata-q1890632","Millennium Cross","","https://en.wikipedia.org/wiki/Millennium_Cross","","fetch_error: Error: 429 https://en.wikipedia.org/w/api.php?action=parse&page=Millennium%20Cross&prop=wikitext&format=json&origin=*"
"city-q3897","Luanda","wikidata-q32788393","Mausoleum of Agostinho Neto","","https://en.wikipedia.org/wiki/Mausoleum_of_Ant%C3%B3nio_Agostinho_Neto","","fetch_error: Error: 429 https://en.wikipedia.org/w/api.php?action=parse&page=Mausoleum%20of%20Ant%C3%B3nio%20Agostinho%20Neto&prop=wikitext&format=json&origin=*"
"city-q1963","Khartoum","wikidata-q553923","Corinthia Hotel Khartoum","","https://en.wikipedia.org/wiki/Corinthia_Hotel_Khartoum","","fetch_error: Error: 429 https://en.wikipedia.org/w/api.php?action=parse&page=Corinthia%20Hotel%20Khartoum&prop=wikitext&format=json&origin=*"
"city-q7903","Casablanca","wikidata-q41346","Hassan II Mosque","","https://en.wikipedia.org/wiki/Hassan_II_Mosque","","fetch_error: Error: 429 https://en.wikipedia.org/w/api.php?action=parse&page=Hassan%20II%20Mosque&prop=wikitext&format=json&origin=*"
"city-q3624","Addis Ababa","wikidata-q27857526","Commercial Bank of Ethiopia Headquarters","","https://en.wikipedia.org/wiki/Commercial_Bank_of_Ethiopia_Headquarters","","fetch_error: Error: 429 https://en.wikipedia.org/w/api.php?action=parse&page=Commercial%20Bank%20of%20Ethiopia%20Headquarters&prop=wikitext&format=json&origin=*"
"city-q3894","Kampala","wikidata-q4022677","Kampala Mosque","","https://en.wikipedia.org/wiki/Uganda_National_Mosque","","fetch_error: Error: 429 https://en.wikipedia.org/w/api.php?action=parse&page=Uganda%20National%20Mosque&prop=wikitext&format=json&origin=*"
"city-q3889","Maputo","wikidata-q10270271","Maputo City Hall","","https://www.wikidata.org/wiki/Q10270271","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q10270271.json"
"city-q3561","Algiers","wikidata-q3561","Algiers","","https://www.wikidata.org/wiki/Q3561","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q3561.json"
"city-q3551","Rabat","wikidata-q579331","Hassan Tower","","https://www.wikidata.org/wiki/Q579331","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q579331.json"
"city-q3881","Lusaka","wikidata-q21007716","FINDECO House","","https://www.wikidata.org/wiki/Q21007716","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q21007716.json"
"city-q3935","Windhoek","wikidata-q3935","Windhoek","","https://www.wikidata.org/wiki/Q3935","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q3935.json"
"city-q3915","Antananarivo","wikidata-q3915","Antananarivo","","https://www.wikidata.org/wiki/Q3915","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q3915.json"
"city-q11953","Guadalajara","wikidata-q1706069","Guadalajara Cathedral","","https://www.wikidata.org/wiki/Q1706069","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q1706069.json"
"city-q81033","Monterrey","wikidata-q5436075","Faro del Comercio","","https://www.wikidata.org/wiki/Q5436075","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q5436075.json"
"city-q1563","Havana","wikidata-q1708874","José Martí Memorial","","https://www.wikidata.org/wiki/Q1708874","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q1708874.json"
"city-q3306","Panama City","wikidata-q5853834","F&F Tower","","https://www.wikidata.org/wiki/Q5853834","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q5853834.json"
"city-q2868","Lima","wikidata-q2446793","Cathedral of Lima","","https://www.wikidata.org/wiki/Q2446793","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q2446793.json"
"city-q42800","Belo Horizonte","wikidata-q42800","Belo Horizonte","","https://www.wikidata.org/wiki/Q42800","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q42800.json"
"city-q2844","Brasília","wikidata-q201720","Cathedral of Brasília","","https://en.wikipedia.org/wiki/Cathedral_of_Bras%C3%ADlia","","fetch_error: Error: 429 https://en.wikipedia.org/w/api.php?action=parse&page=Cathedral%20of%20Bras%C3%ADlia&prop=wikitext&format=json&origin=*"
"city-q36947","Salvador","wikidata-q1328348","Elevador Lacerda","","https://www.wikidata.org/wiki/Q1328348","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q1328348.json"
"city-q48344","Recife","wikidata-q15975929","Malakoff tower","","https://www.wikidata.org/wiki/Q15975929","","no_page_or_height"
"city-q1335","Montevideo","wikidata-q1519373","Palacio Salvo","","https://www.wikidata.org/wiki/Q1519373","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q1519373.json"
"city-q34932","Brisbane","wikidata-q4968552","Brisbane City Hall","","https://www.wikidata.org/wiki/Q4968552","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q4968552.json"
"city-q3183","Perth","wikidata-q3183","Perth","","https://www.wikidata.org/wiki/Q3183","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q3183.json"
"city-q5112","Adelaide","wikidata-q5112","Adelaide","","https://www.wikidata.org/wiki/Q5112","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q5112.json"
"city-q37100","Auckland","wikidata-q37100","Auckland","","https://www.wikidata.org/wiki/Q37100","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q37100.json"
"city-q23661","Wellington","wikidata-q10323215","Majestic Centre","","https://www.wikidata.org/wiki/Q10323215","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q10323215.json"
"city-q79990","Christchurch","wikidata-q1077977","Christ Church Cathedral","","https://www.wikidata.org/wiki/Q1077977","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q1077977.json"
"city-q11974","Las Palmas de Gran Canaria","wikidata-q1385934","Cathedral Basilica of St. Ann","","https://en.wikipedia.org/wiki/Las_Palmas_Cathedral","","fetch_error: Error: 429 https://en.wikipedia.org/w/api.php?action=parse&page=Las%20Palmas%20Cathedral&prop=wikitext&format=json&origin=*"
"city-q8826","Palma de Mallorca","wikidata-q1298819","Palma Cathedral","","https://www.wikidata.org/wiki/Q1298819","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q1298819.json"
"city-q473914","Ibiza","wikidata-q2942557","Ibiza Cathedral","","https://www.wikidata.org/wiki/Q2942557","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q2942557.json"
"city-q49550","Mahón","wikidata-q11920552","Santa Maria de Maó","","https://www.wikidata.org/wiki/Q11920552","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q11920552.json"
"city-q12233","Santander","wikidata-q922172","Santander Cathedral","","https://www.wikidata.org/wiki/Q922172","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q922172.json"
"city-q10305","Zaragoza","wikidata-q810684","Basilica of Our Lady of the Pillar","","https://www.wikidata.org/wiki/Q810684","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q810684.json"
"city-q647543","Arrecife","wikidata-q47003633","Gran Hotel","","https://www.wikidata.org/wiki/Q47003633","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q47003633.json"
"city-q24013882","Puerto del Rosario","wikidata-q24013882","Puerto del Rosario","","https://www.wikidata.org/wiki/Q24013882","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q24013882.json"
"city-q433632","Santa Cruz de La Palma","wikidata-q433632","Santa Cruz de La Palma","","https://www.wikidata.org/wiki/Q433632","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q433632.json"
"city-q16554","Denver","wikidata-q901770","Daniels & Fisher Tower","","https://en.wikipedia.org/wiki/Daniels_%26_Fisher_Tower","","fetch_error: Error: 429 https://en.wikipedia.org/w/api.php?action=parse&page=Daniels%20%26%20Fisher%20Tower&prop=wikitext&format=json&origin=*"
"city-q49233","Orlando","wikidata-q49233","Orlando","","https://www.wikidata.org/wiki/Q49233","","fetch_error: Error: 429 https://www.wikidata.org/wiki/Special:EntityData/Q49233.json"
