observation_id,city_id,city_name_en,city_name_es,city_name_local,country_code,country_name_en,country_name_es,continent,region,airport_id,airport_name,airport_name_es,iata,icao,airport_latitude,airport_longitude,airport_type,annual_passengers_m,passenger_year,primary_airport,service_pattern,tower_id,tower_name,tower_name_es,tower_latitude,tower_longitude,height_m,height_basis,tower_type,completed_year,mode,co_tallest,confidence,selection_reason_en,selection_reason_es,distance_m,distance_km,source_ids,reviewed_at
city-q172--ourairports-1926--iconic--wikidata-q134883,city-q172,Toronto,Toronto,Toronto,CA,Canada,Canadá,North America,Northern America,ourairports-1926,Billy Bishop Toronto City Airport,Billy Bishop Toronto City Airport,YTZ,CYTZ,43.627852,-79.39553,medium_airport,1.732,2022,false,year_round,wikidata-q134883,CN Tower,CN Tower,43.642752777,-79.387147222,553.3,structural_tip,building_or_freestanding_tower,1976,iconic,false,high,CN Tower is the selected vertical landmark most strongly associated with Toronto.,CN Tower es el hito vertical seleccionado con mayor asociación a Toronto.,1788.420127719707,1.788420127719707,ourairports-2026-09-14;wikidata-airport-traffic-2026-09-17;wikidata-q134883,2026-09-16
city-q3616--ourairports-5168--iconic--wikidata-q1140026,city-q3616,Tehran,Teherán,Tehran,IR,Iran,Irán,Asia,Southern Asia,ourairports-5168,Mehrabad International Airport,Mehrabad International Airport,THR,OIII,35.689175,51.314392,large_airport,14.931798,2019,false,year_round,wikidata-q1140026,Azadi Tower,Azadi Tower,35.69972222222222,51.338055555555556,45,structural_tip,vertical_landmark,1971,iconic,false,high,Azadi Tower is the selected vertical landmark most strongly associated with Tehran.,Azadi Tower es el hito vertical seleccionado con mayor asociación a Teherán.,2440.648095415094,2.440648095415094,ourairports-2026-09-14;wikidata-airport-traffic-2026-09-17;wikidata-q1140026,2026-09-16
city-q100--ourairports-3422--iconic--wikidata-q3007905,city-q100,Boston,Boston,Boston,US,United States,Estados Unidos,North America,Northern America,ourairports-3422,Boston Logan International Airport,Boston Logan International Airport,BOS,KBOS,42.36197,-71.0079,large_airport,43.236013,2025,true,year_round,wikidata-q3007905,Custom House Tower,Torre de la Aduana,42.35906944,-71.05336944,151,structural_tip,building,1915,iconic,false,high,Custom House Tower was selected as the permanent vertical landmark most strongly associated with Boston.,Torre de la Aduana se seleccionó como el hito vertical permanente con mayor asociación a Boston.,3759.6699062689954,3.7596699062689956,ourairports-2026-09-14;wikidata-airport-traffic-2026-09-17;wikidata-q3007905,2026-09-16
city-q3870--ourairports-3215--iconic--wikidata-q3272625,city-q3870,Nairobi,Nairobi,Nairobi,KE,Kenya,Kenia,Africa,Eastern Africa,ourairports-3215,Nairobi Wilson Airport,Nairobi Wilson Airport,WIL,HKNW,-1.32172,36.8148,medium_airport,0.854,2019,false,year_round,wikidata-q3272625,Kenyatta International Convention Centre,Kenyatta International Convention Centre,-1.2886111111111,36.823055555556,105,structural_tip,vertical_landmark,1974,iconic,false,high,Kenyatta International Convention Centre is the selected vertical landmark most strongly associated with Nairobi.,Kenyatta International Convention Centre es el hito vertical seleccionado con mayor asociación a Nairobi.,3774.5372309120717,3.7745372309120717,ourairports-2026-09-14;wikidata-airport-traffic-2026-09-17;wikidata-q3272625,2026-09-16
city-q12233--ourairports-4047--iconic--wikidata-q922172,city-q12233,Santander,Santander,Santander,ES,Spain,España,Europe,Southern Europe,ourairports-4047,Seve Ballesteros-Santander Airport,Seve Ballesteros-Santander Airport,SDR,LEXJ,43.427101,-3.82001,medium_airport,1.06939,2025,true,year_round,wikidata-q922172,Santander Cathedral,Santander Cathedral,43.46055556,-3.8075,50,structural_tip,vertical_landmark,1200,iconic,false,high,Santander Cathedral is the selected vertical landmark most strongly associated with Santander.,Santander Cathedral es el hito vertical seleccionado con mayor asociación a Santander.,3852.3408801438,3.8523408801438,ourairports-2026-09-14;aena-2025-annual-traffic;wikidata-q922172,2026-09-16
city-q1867--ourairports-5527--iconic--wikidata-q83101,city-q1867,Taipei,Taipéi,Taipei,TW,Taiwan,Taiwán,Asia,Eastern Asia,ourairports-5527,Taipei Songshan International Airport,Taipei Songshan International Airport,TSA,RCSS,25.067244,121.552822,large_airport,1.701698,2021,false,year_round,wikidata-q83101,Taipei 101,Taipei 101,25.033611111,121.564722222,508,structural_tip,building_or_freestanding_tower,2005,iconic,false,high,Taipei 101 is the selected vertical landmark most strongly associated with Taipei.,Taipei 101 es el hito vertical seleccionado con mayor asociación a Taipéi.,3914.3818871609433,3.9143818871609435,ourairports-2026-09-14;wikidata-airport-traffic-2026-09-17;wikidata-q83101,2026-09-16
city-q3897--ourairports-2942--iconic--wikidata-q32788393,city-q3897,Luanda,Luanda,Luanda,AO,Angola,Angola,Africa,Middle Africa,ourairports-2942,Quatro de Fevereiro International Airport,Quatro de Fevereiro International Airport,LAD,FNLU,-8.85837,13.2312,large_airport,2.430794,2009,true,year_round,wikidata-q32788393,Mausoleum of Agostinho Neto,Mausoleum of Agostinho Neto,-8.823611,13.218947,120,structural_tip,building_or_freestanding_tower,1900,iconic,false,high,Mausoleum of Agostinho Neto is the selected vertical landmark most strongly associated with Luanda.,Mausoleum of Agostinho Neto es el hito vertical seleccionado con mayor asociación a Luanda.,4073.8135774155207,4.073813577415521,ourairports-2026-09-14;wikidata-airport-traffic-2026-09-17;wikidata-q32788393;agostinho-mausoleum-wikipedia,2026-09-16
city-q61--ourairports-3483--iconic--wikidata-q178114,city-q61,"Washington, D.C.",Washington D. C.,"Washington, D.C.",US,United States,Estados Unidos,North America,Northern America,ourairports-3483,Ronald Reagan Washington National Airport,Ronald Reagan Washington National Airport,DCA,KDCA,38.8521,-77.037697,large_airport,24.889473,2025,false,year_round,wikidata-q178114,Washington Monument,Washington Monument,38.889475,-77.035244444444,169.046,structural_tip,vertical_landmark,1885,iconic,false,high,"Washington Monument is the selected vertical landmark most strongly associated with Washington, D.C..",Washington Monument es el hito vertical seleccionado con mayor asociación a Washington D. C..,4154.5671168437,4.1545671168437,ourairports-2026-09-14;wikidata-airport-traffic-2026-09-17;wikidata-q178114,2026-09-16
city-q43509--ourairports-6056--iconic--curated-torre-morisca-guayaquil,city-q43509,Guayaquil,Guayaquil,Guayaquil,EC,Ecuador,Ecuador,South America,South America,ourairports-6056,José Joaquín de Olmedo International Airport,José Joaquín de Olmedo International Airport,GYE,SEGU,-2.15742,-79.883598,large_airport,3.747,2022,true,year_round,curated-torre-morisca-guayaquil,Torre Morisca,Torre Morisca,-2.1952,-79.8806,23,structural_tip,clock_tower,1931,iconic,false,high,Torre Morisca was selected as the permanent vertical landmark most strongly associated with Guayaquil.,Torre Morisca se seleccionó como el hito vertical permanente con mayor asociación a Guayaquil.,4190.847110515011,4.190847110515011,ourairports-2026-09-14;wikidata-airport-traffic-2026-09-17;source-curated-torre-morisca-guayaquil,2026-09-16
city-q3306--ourairports-4791--iconic--wikidata-q5853834,city-q3306,Panama City,Ciudad de Panamá,Panama City,PA,Panama,Panamá,North America,Central America,ourairports-4791,Marcos A. Gelabert International Airport,Marcos A. Gelabert International Airport,PAC,MPMG,8.97334,-79.555603,medium_airport,0.23,2016,false,year_round,wikidata-q5853834,F&F Tower,F&F Tower,8.98297,-79.5185,236.4,structural_tip,vertical_landmark,2011,iconic,false,high,F&F Tower is the selected vertical landmark most strongly associated with Panama City.,F&F Tower es el hito vertical seleccionado con mayor asociación a Ciudad de Panamá.,4216.745296656298,4.216745296656298,ourairports-2026-09-14;wikidata-airport-traffic-2026-09-17;wikidata-q5853834;ctbuh-ff-tower,2026-09-16
